genre,level,title,time
Art House & InternationalComedyDramaRomance,R (for brief language and sexuality),"Good Bye, Lenin!",27-Feb-04
Action & AdventureArt House & InternationalDrama,"PG-13 (for sequences of stylized martial arts violence, and some sexuality)",House of Flying Daggers,3-Dec-04
Action & AdventureDramaMystery & Suspense,R (for violence and language),Collateral,6-Aug-04
DocumentaryDramaSpecial Interest,NR,The Corporation,23-Apr-04
Art House & InternationalDrama,PG-13 (for mature thematic elements and some sexual references),Nobody Knows (Dare mo shiranai),21-Oct-04
DocumentaryDramaSpecial Interest,NR,Tarnation,6-Oct-04
Art House & InternationalDrama,"R (for strong violence, disturbing images and some nudity)",Downfall (Der Untergang),31-Dec-04
DocumentaryDramaMusical & Performing ArtsSpecial Interest,NR,My Architect,20-Feb-04
DocumentarySpecial InterestSports & Fitness,PG-13 (for brief strong language),Riding Giants,9-Jul-04
Drama,"R (for pervasive sexual content, including some graphic images and descriptions)",Kinsey,12-Nov-04
DocumentarySpecial Interest,PG-13 (for some violent images and brief nudity),The Agronomist,7-Jun-05
DocumentarySpecial Interest,NR,Lost Boys of Sudan,2-Nov-04
AnimationComedyKids & FamilyScience Fiction & Fantasy,"PG (for some crude humor, a brief substance reference and some suggestive content)",Shrek 2,19-May-04
DocumentaryMusical & Performing ArtsSpecial Interest,NR,End of the Century: The Story of the Ramones,15-Mar-05
Drama,R (for depiction of strong thematic material),Vera Drake,10-Oct-04
Drama,"PG-13 (for violence, disturbing images and brief strong language)",Hotel Rwanda,22-Dec-04
Art House & InternationalDocumentarySpecial Interest,PG (for mild thematic content),The Story of the Weeping Camel,4-Jun-04
DocumentarySpecial Interest,"PG-13 (for language, sex and drug references, and a graphic medical procedure)",Super Size Me,7-May-04
DocumentarySpecial Interest,NR,Plagues & Pleasures on the Salton Sea,12-Jan-04
Art House & InternationalDramaMystery & Suspense,NR,La demoiselle d'honneur (The Bridesmaid),17-Nov-04
DramaTelevision,NR,The Return,6-Feb-04
Art House & InternationalDrama,NR,Since Otar Left,30-Apr-04
Kids & FamilyScience Fiction & Fantasy,"PG (for frightening moments, creature violence and mild language)",Harry Potter and the Prisoner of Azkaban,4-Jun-04
DocumentaryMusical & Performing ArtsSpecial Interest,R (for some sequences of strong language),Born Into Brothels,8-Dec-04
DocumentarySpecial InterestSports & Fitness,R (for language),Touching the Void,15-Jun-04
Action & AdventureComedyHorrorScience Fiction & FantasySpecial Interest,R (for zombie violence/gore and language),Shaun of the Dead,24-Sep-04
Art House & InternationalDrama,PG-13 (for mature thematic elements),Osama,6-Feb-04
DocumentarySpecial Interest,NR,Control Room,21-May-04
DramaRomance,"PG-13 (for violence, some disturbing images, thematic material and language)",Million Dollar Baby,15-Dec-04
DramaRomance,R (for language and sexual references),Before Sunset,2-Jul-04
ComedyDramaScience Fiction & FantasyRomance,"R (for language, some drug and sexual content)",Eternal Sunshine Of The Spotless Mind,19-Mar-04
Action & AdventureArt House & InternationalDrama,NR,The Twilight Samurai (Tasogare Seibei),23-Apr-04
Art House & InternationalDrama,NR,Moolaadé,15-Oct-04
Action & AdventureArt House & InternationalClassicsDrama,PG-13 (for stylized martial arts violence and a scene of sensuality),Hero,27-Aug-04
Art House & InternationalDrama,R (for drug content and language),Maria Full of Grace,16-Jul-04
Action & AdventureScience Fiction & Fantasy,PG-13 (for stylized action violence),Spider-Man 2,30-Jun-04
ComedyDramaRomance,"R (for language, some strong sexual content and nudity)",Sideways,13-Sep-04
AnimationComedyKids & Family,PG (for action violence),The Incredibles,5-Nov-04
DocumentaryMusical & Performing ArtsTelevision,"R (for strong language and images of drugs, violence and sex)",Tupac: Resurrection,15-Jun-04
ComedyRomance,"PG-13 (for sexual content, language and brief violence)",Intolerable Cruelty,10-Oct-03
Mystery & SuspenseScience Fiction & Fantasy,R (for sci-fi violence and some sexuality),The Matrix Reloaded,7-May-03
Action & AdventureComedyKids & FamilyMystery & Suspense,"PG (for violence, mild language and some thematic elements)",Holes,18-Apr-03
ComedyHorror,"R (for language, some sexual content and brief violent images)",Bubba Ho-Tep,2-Oct-03
Art House & InternationalComedyDramaRomance,R (for brief nudity),I Capture the Castle,11-Jul-03
DramaRomance,NR,Friday Night,2-May-03
Action & AdventureArt House & InternationalDramaMystery & Suspense,"R (for language, sexuality, drug content and some violence)",The Good Thief,2-Apr-03
Art House & InternationalDramaMystery & Suspense,R (for language and some sexuality),Owning Mahowny,2-May-03
ComedyDrama,R (for language),Mondays in the Sun (Los Lunes al sol),25-Jul-03
Art House & InternationalDrama,R,Charlotte Sometimes,2-May-03
DocumentaryDramaSports & Fitness,R (for language and some sexual content),Stoked: The Rise and Fall of Gator,17-Feb-04
DramaRomance,"R (for strong sexuality, violence, language and some drug use)",The Cooler,26-Nov-03
Drama,R (for sexual content and language),Blue Car,2-May-03
Kids & FamilyScience Fiction & Fantasy,PG (for adventure action sequences and peril),Peter Pan,25-Dec-03
Comedy,NR,Divine Intervention,17-Jan-03
ComedyDocumentaryScience Fiction & FantasySpecial Interest,G (for thematic elements),Ghosts of the Abyss,27-Apr-04
DocumentarySports & Fitness,PG (for some language),Step Into Liquid,8-Aug-03
Drama,PG-13 (some sexual situations and violent sports-related images),Seabiscuit,25-Jul-03
Drama,R (for strong language and some violence),25th Hour,10-Jan-03
Art House & InternationalDrama,NR,Chihwaseon,14-Feb-03
ComedyDramaMystery & Suspense,"R (for language, sexual content and violence)",Confessions of a Dangerous Mind,15-Aug-03
Action & AdventureDramaWestern,R (for violence),Open Range,15-Aug-03
DocumentaryDramaMusical & Performing ArtsSpecial Interest,"PG-13 (for some images of violence, and for momentary language)",Amandla! A Revolution in Four-Part Harmony,21-Oct-03
ComedyDrama,"PG-13 (for a fight scene, some images of nudity and a suggestive reference)",Big Fish,10-Dec-03
DocumentarySpecial Interest,PG-13,Stone Reader,11-Jan-03
Comedy,"R (for pervasive language, strong sexual content and some violence)",Bad Santa,26-Nov-03
DocumentarySpecial Interest,R (for language and sexual content/nudity.),Bukowski: Born into This,21-Mar-06
Art House & InternationalComedyDrama,NR,Chaos,29-Jan-03
Drama,"R (for drug use, self destructive violence, language and sexuality - all involving young teens)",Thirteen,20-Aug-03
Drama,"R (for language, sexuality, some violence and drug use)",21 Grams,21-Nov-03
Art House & InternationalDrama,R,Gloomy Sunday,14-Nov-03
Action & AdventureScience Fiction & Fantasy,PG-13 (for action/adventure violence),Pirates of the Caribbean: The Curse of the Black Pearl,28-Jun-03
Art House & InternationalDrama,"R (for strong sexual content, a rape scene, drug use and language)",Lilja 4-ever,15-Jan-03
Art House & InternationalComedyDrama,"R (for language, sexual dialogue and drug content)",The Barbarian Invasions (Les Invasions barbares),21-Nov-03
Art House & InternationalDramaHorrorMystery & Suspense,R (for some violence and disturbing images),A Tale of Two Sisters,13-Jun-03
Art House & InternationalDramaRomance,R (for language and some sexual content),Yossi & Jagger,17-Oct-03
DocumentarySpecial Interest,NR,Tibet: Cry of the Snow Lion,19-Sep-03
Art House & InternationalDrama,R (for some sexual content),Monsieur Ibrahim et les fleurs du Coran (Monsieur Ibrahim),5-Dec-03
Art House & InternationalDramaMystery & Suspense,"R (for strong sexual content, nudity, language, some violence and drug use)",Swimming Pool,2-Jul-03
Art House & InternationalComedyDrama,R (for sexuality and language),The Secret Lives of Dentists,1-Aug-03
ComedyDrama,"PG-13 (for thematic elements, violence, some sexual content and language)",Matchstick Men,12-Sep-03
Art House & InternationalDocumentaryDramaSpecial Interest,NR,Ten,5-Mar-03
ComedyDrama,"PG-13 (for language, sensuality, drug content and images of nudity)",Pieces of April,17-Oct-03
DramaHorrorMusical & Performing Arts,NR,Dracula: Pages From a Virgin's Diary,14-May-03
Art House & InternationalComedyDramaRomance,PG-13 (sexual content and violence),The Cuckoo,11-Jul-03
ComedyKids & FamilySpecial Interest,PG (for some mild rude humor and language),Elf,7-Nov-03
Art House & InternationalComedyDramaMystery & Suspense,R (for sexual dialogue),Intimate Strangers,1-Jan-03
Art House & InternationalDrama,NR,The Son (Le Fils),10-Jan-03
Art House & InternationalDocumentaryDramaSpecial InterestTelevision,NR,The Five Obstructions,7-Nov-03
ComedyDrama,PG-13 (for language and sexual content),Bend It like Beckham,1-Aug-03
Drama,R (for brief strong language),In This World,19-Sep-03
Action & AdventureArt House & InternationalDrama,R (for strong stylized bloody violence),Zatôichi (The Blind Swordsman: Zatoichi),6-Sep-03
Art House & InternationalDramaMystery & Suspense,NR,Memories of Murder,2-May-03
Action & AdventureMystery & Suspense,"R (for strong bloody violence, language and some sexual content)",Kill Bill: Volume 1,10-Oct-03
ComedyDramaKids & Family,PG (for mild thematic elements and some language),Freaky Friday,6-Aug-03
Art House & InternationalComedyDrama,PG-13 (for language and brief nudity),Noi the Albino (Nói albínói),19-Mar-03
Action & AdventureDrama,"PG-13 (for intense battle sequences, related images, and brief language)",Master and Commander: The Far Side of the World,14-Nov-03
AnimationArt House & InternationalComedyDramaScience Fiction & Fantasy,"PG-13 (for thematic elements, violent images, language and some sexual material)",Tokyo Godfathers,30-Aug-03
Comedy,PG-13 (for sex-related humor),A Mighty Wind,16-Apr-03
Action & AdventureScience Fiction & Fantasy,"PG-13 (for sci-fi action/violence, some sexuality and brief language)",X2: X-Men United,2-May-03
Comedy,NR,Funny Ha Ha,1-Jan-03
Art House & InternationalComedyDramaMystery & Suspense,R (for disturbing images and language),I'm Not Scared (Io non ho paura),14-Mar-03
HorrorScience Fiction & Fantasy,"R (for strong violence and gore, language and nudity)",28 Days Later,27-Jun-03
DocumentarySpecial Interest,R (for language and descriptions of abuse),Stevie,9-Sep-03
Art House & InternationalDramaTelevision,"R (for brief nudity, language and a violent image)",Saraband,1-Dec-03
Drama,R (for pervasive language and some strong sexuality/nudity),Baadasssss!,7-Sep-03
DramaMystery & SuspenseRomance,R (for images of violence and some language),The Quiet American,7-Feb-03
DramaMystery & Suspense,R (for language and violence),Mystic River,8-Oct-03
ComedyDrama,"PG-13 (for some sexuality, drug references, brief violence and language)",In America,29-Apr-03
DramaRomance,"PG-13 (for mature thematic elements, sexual content, brief violence and language)",Far From Heaven,1-Apr-03
DramaMystery & SuspenseScience Fiction & Fantasy,R,Alien: The Director's Cut,29-Oct-03
Art House & InternationalComedyDrama,R (for some language and brief violence),The Man on the Train (L'homme du train),9-May-03
Drama,"R (for violence/cruelty, nudity, sexual content and language)",The Magdalene Sisters,22-Aug-03
DramaRomance,PG-13 (for brief language and a momentary drug reference),Whale Rider,6-Jun-03
Art House & InternationalDramaRomance,R (for language and brief nudity),The Best of Youth (La meglio gioventù),22-Jun-03
Action & AdventureArt House & InternationalDrama,"R (for strong brutal violence, sexuality, drug content and language)",Cidade de Deus (City of God),17-Jan-03
Drama,"PG-13 (for language, sexual references and brief drug use)",Shattered Glass,31-Oct-03
Art House & InternationalDrama,R (for some strong sexuality),"Spring, Summer, Fall, Winter...and Spring",19-Sep-03
DocumentaryMusical & Performing ArtsTelevision,R (for language),Lost in La Mancha,31-Jan-03
DocumentaryDramaMusical & Performing ArtsSpecial InterestTelevision,NR,Los Angeles Plays Itself,1-Jan-03
Comedy,PG-13 (for some rude humor and drug references),School of Rock,3-Oct-03
DocumentaryMusical & Performing Arts,R (for some language),Festival Express,2-Nov-04
Art House & InternationalDramaMystery & Suspense,"R (for sexual content, disturbing images and language)",Dirty Pretty Things,18-Jul-03
AnimationArt House & InternationalComedyDrama,"PG-13 (for images involving sensuality, violence and crude humor)",The Triplets of Belleville,26-Nov-03
Art House & InternationalDocumentaryDramaSpecial Interest,NR,To Be and to Have (Etre et Avoir),1-May-08
Art House & InternationalComedyDrama,R (for language and some drug content),The Station Agent,3-Oct-03
DocumentaryDramaSpecial Interest,G,Winged Migration,18-Apr-03
Art House & InternationalDocumentaryDramaSpecial Interest,"R (for language, violent images and some drug material)",Bus 174 (Ônibus 174),8-Oct-03
DocumentarySpecial Interest,NR,Chavez: Inside the Coup,1-Jan-03
Art House & InternationalComedyDrama,R (for strong language),Raising Victor Vargas,28-Mar-03
Drama,"R (for pervasive strong language, drug content and some violence)",Sweet Sixteen,16-May-03
Art House & InternationalComedyDrama,R (for language),American Splendor,15-Aug-03
DocumentarySpecial Interest,PG-13 (for images and thematic issues of war and destruction),The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,11-May-04
Action & AdventureClassicsScience Fiction & Fantasy,PG-13 (for epic battle sequences and some scary images),The Lord of the Rings: The Return of the King,17-Dec-03
DocumentarySpecial Interest,R,Capturing the Friedmans,27-Jan-04
ComedyDramaRomance,R (for some sexual content),Lost In Translation,26-Sep-03
AnimationComedyKids & Family,G,Finding Nemo,30-May-03
ComedyDocumentary,R (for language),Comedian,13-May-03
DramaRomance,R (for sexuality/nudity and language),Frida,25-Oct-02
ComedyRomance,PG (for sensuality and language),My Big Fat Greek Wedding,19-Apr-02
Art House & InternationalComedyDramaScience Fiction & FantasyRomance,NR,Warm Water Under a Red Bridge (Akai Hashi No Shita Noo Nurui Mizu),24-Jun-03
Drama,"R (adult situations/language, nudity)",The Dangerous Lives of Altar Boys,14-Jun-02
ComedyDramaRomance,"R (for language, sexuality and drug content)",Igby Goes Down,13-Sep-02
Mystery & SuspenseScience Fiction & Fantasy,PG-13 (for some frightening moments),Signs,2-Aug-02
ClassicsDrama,"R (for intense strong violence, sexuality/nudity and language)",Gangs of New York,20-Dec-02
DramaMystery & Suspense,R (for violence and language),Panic Room,29-Mar-02
Art House & InternationalComedyDramaRomance,"R (for strong sexuality, some nudity, depiction of behavioral disorders, and language)",Secretary,20-Sep-02
Comedy,"PG-13 (for language, sexual humor, drug content and campy violence)",Undercover Brother,31-May-02
Art House & InternationalComedyDramaRomance,"PG-13 (for sexual content, mature thematic elements and language)",Tadpole,19-Jul-02
Art House & InternationalComedyDrama,R (for sexuality and some language),Last Orders,15-Feb-02
Action & AdventureDramaMystery & Suspense,R (for language),Changing Lanes,12-Apr-02
Drama,"R (for strong language, sexuality, some violence and drug use)",8 Mile,8-Nov-02
AnimationComedyKids & Family,PG (for mild peril),Ice Age,15-Mar-02
DocumentaryDramaMusical & Performing ArtsSpecial Interest,R (for language),Biggie and Tupac,29-Apr-03
Art House & InternationalDrama,R,Tully,1-Nov-02
AnimationKids & Family,PG (for some adventure peril),The Wild Thornberrys Movie,20-Dec-02
DocumentaryMusical & Performing Arts,NR,Gigantic,18-Nov-03
ComedyDramaMystery & Suspense,R (for some sexual content),8 Women (8 Femmes),20-Sep-02
Drama,"PG-13 (for brief strong language, a sexual reference and thematic elements)",Sunshine State,21-Jun-02
Art House & InternationalComedyDrama,G (http://www.sonyclassics.com/secretballot/),Secret Ballot,9-Aug-02
Drama,"PG-13 (for violence, language and mature thematic materiatl involving child abuse)",Antwone Fisher,19-Dec-02
Action & AdventureDrama,"R (adult situations/language, violence)",Better Luck Tomorrow,11-Apr-02
ComedyDrama,PG-13 (for innuendo and language),Drumline,13-Dec-02
Art House & InternationalComedyDramaMusical & Performing Arts,NR,Satin Rouge,27-May-03
Art House & InternationalDrama,PG (for brief language),Pauline & Paulette,15-Mar-02
Action & AdventureComedyKids & FamilyScience Fiction & Fantasy,PG (for brief mild language),Stuart Little 2,19-Jul-02
Drama,PG (for thematic material involving some violent action and a childbirth scene),Nicholas Nickleby,27-Dec-02
Drama,"R (adult situations/language, violence)",The Believer,1-Apr-02
Comedy,"PG-13 (for language, sexual content and brief drug references)",Barbershop,13-Sep-02
Drama,"PG-13 (for mature thematic elements, some disturbing images and brief language)",The Hours,27-Dec-02
ComedyDramaRomance,R (for strong language including a scene of sexual dialogue),Punch-Drunk Love,11-Oct-02
Drama,R (adult situations),Morvern Callar,16-Dec-03
Art House & InternationalDrama,R (for language and some sexuality),La Stanza del Figlio (The Son's Room),8-Feb-02
Art House & InternationalComedyDrama,PG-13 (for sexual content and some language),Real Women Have Curves,18-Oct-02
Comedy,"R (for some lnaguage, sexuality/nudity and drug content)",The Royal Tenenbaums,4-Jan-02
Art House & InternationalComedyDrama,R (for language and some sexual content),Elling,29-May-02
ComedyRomance,R (for sexual content and language),Kissing Jessica Stein,13-Mar-02
Drama,R (for violence and language),Road to Perdition,12-Jul-02
ComedyDrama,R (for some language and drug content),The Good Girl,7-Aug-02
Art House & InternationalComedyDocumentaryDrama,R (for pervasive language and some sexuality),All or Nothing,25-Oct-02
DramaMystery & Suspense,R (for sexual content and language),One Hour Photo,21-Aug-02
Art House & InternationalComedyDrama,R (for language),Son of the Bride,22-Mar-02
Action & AdventureAnimationDramaScience Fiction & Fantasy,PG-13 (for violence and images of destruction),Metropolis,25-Jan-02
Comedy,NR,Margaret Cho - Notorious C.H.O.,19-Nov-02
ComedyDrama,R (for strong sexuality/nudity and language),Lawless Heart,1-Dec-02
Art House & InternationalDocumentarySpecial Interest,PG (for thematic material),Blind Spot: Hitler's Secretary,28-Oct-03
Action & AdventureDramaMystery & Suspense,"R (for strong brutal violence, drug content and pervasive language)",Narc,20-Dec-02
Action & AdventureMystery & Suspense,PG-13 (for violence and some language),The Bourne Identity,14-Jun-02
ComedyDramaMusical & Performing Arts,"R (for strong language, drug use and sexuality)",24 Hour Party People,9-Aug-02
Kids & FamilyScience Fiction & Fantasy,"PG (for scary moments, some creature violence and mild language)",Harry Potter and the Chamber of Secrets,15-Nov-02
DramaMystery & SuspenseRomance,"R (Rated R for strong sexual content, language and violence.)",Monster's Ball,1-Feb-02
DocumentaryMusical & Performing Arts,NR,I Am Trying to Break Your Heart,1-Apr-03
Art House & InternationalComedyDrama,R (for language and nudity),Lovely & Amazing,2-Aug-02
Art House & InternationalComedyDrama,NR,Late Marriage,17-May-02
Action & AdventureAnimationComedy,PG (for mild sci-fi action),Lilo & Stitch,21-Jun-02
Art House & InternationalDrama,PG (for language and brief violence),Baran,3-May-02
Art House & InternationalDramaMystery & Suspense,"R (for sexuality, brief violence and language)",Spider,21-May-02
Action & AdventureDrama,PG (for emotional thematic material),Rabbit-Proof Fence,29-Nov-02
ComedyDrama,R (for some language and brief nudity),About Schmidt,13-Dec-02
ComedyDrama,R (for sexual content and language),Roger Dodger,1-Nov-02
Drama,G,The Rookie,29-Mar-02
Art House & InternationalComedyDrama,NR,The Girl From Paris,1-Jan-02
Art House & InternationalDramaScience Fiction & FantasySpecial Interest,G,Russian Ark,13-Dec-02
Art House & InternationalDrama,NR,Murderous Maids,19-Apr-02
Art House & InternationalDrama,PG (for some thematic elements),Springtime in a Small Town (Xiao cheng zhi chun),1-Jul-02
DocumentarySpecial Interest,NR,The Weather Underground,25-May-04
ComedyDramaMusical & Performing Arts,"PG-13 (for sexual content and dialogue, violence and thematic elements)",Chicago,27-Dec-02
DramaMystery & Suspense,R (for language and sexuality),Lantana,25-Jan-02
Art House & InternationalComedyDramaMystery & Suspense,NR,Alias Betty (Betty Fisher and Other Stories)(Betty Fisher et autres histoires),15-Mar-02
DocumentaryMusical & Performing Arts,PG (for language and thematic elements),Standing in the Shadows of Motown,15-Nov-02
Action & AdventureArt House & InternationalDrama,R (for some sexuality/nudity and violence),Atanarjuat: The Fast Runner (Atanarjuat),5-Apr-02
DocumentaryMusical & Performing Arts,R (for language),Scratch,17-Sep-02
DocumentaryDramaSpecial InterestTelevision,R (for language and some brief violent and sexual images),The Kid Stays in the Picture,16-Aug-02
DramaMystery & Suspense,R (for language),Nine Queens (Nueve reinas),1-Oct-02
Drama,R (for violence and language),Bloody Sunday,11-Oct-02
Art House & InternationalDrama,"R (for some language, brief nudity and drug use)",Broken Wings (Knafayim Shvurot),24-Oct-02
Art House & InternationalDramaMystery & Suspense,R (for violence),Infernal Affairs (Mou gaan dou),12-Dec-02
Art House & InternationalDramaRomance,"R (for nudity, sexual content and some language)",Talk to Her,22-Nov-02
DramaRomance,R (for language and sexuality),Open Hearts (Elsker Dig For Evigt),23-Aug-02
DocumentarySpecial Interest,NR,The Trials of Henry Kissinger,25-Sep-02
DocumentaryDramaSpecial Interest,NR,Promises,22-Mar-02
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13 (for stylized violence and action),Spider-Man,3-May-02
ComedyDramaRomance,"R (for language, including some sex related dialogue)",Monsoon Wedding,22-Feb-02
ComedyDramaRomance,PG-13 (for brief strong language and some thematic elements),About a Boy,17-May-02
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for violence, brief language, some sexuality and drug content)",Minority Report,21-Jun-02
Art House & InternationalComedyDramaMystery & Suspense,"R (for language, violence and some sexual content)",Read My Lips,19-Jul-02
DocumentarySpecial Interest,R (for some violent images and language),Bowling for Columbine,11-Oct-02
Drama,R (for violence and brief strong language),The Pianist,27-Dec-02
Art House & InternationalComedyDrama,PG (for some violence),The Man Without a Past,30-Aug-02
Art House & InternationalDocumentaryMusical & Performing Arts,G,Rivers and Tides: Andy Goldsworthy Working With Time,1-Jan-02
Action & AdventureDrama,PG-13 (for some sexual content and brief language),Catch Me If You Can,25-Dec-02
AnimationDramaKids & FamilyScience Fiction & Fantasy,PG (for some scary moments),Spirited Away,20-Sep-02
Action & AdventureClassicsDramaScience Fiction & Fantasy,PG-13 (for epic battle sequences and some scary images),The Lord of the Rings: The Two Towers,12-Dec-02
ComedyDrama,"R (for language, sexuality, some drug use and violent images)",Adaptation,6-Dec-02
Drama,"R (adult situations/language, nudity, sex, violence)",Baby Boy,27-Jun-01
DramaMystery & Suspense,"R (for language, some violence and brief nudity)",Insomnia,24-May-02
DramaMystery & Suspense,R,Chopper,11-Apr-01
Action & AdventureComedyDrama,"R (for pervasive language, some durg use and sexuality)",Made,13-Jul-01
Art House & InternationalDrama,PG-13 (for some violence and a scene of sexuality),Behind the Sun,12-Dec-01
Art House & InternationalClassicsDrama,NR,Fat Girl,8-Oct-01
DramaMusical & Performing Arts,"R (for aberrant sexuality including violence, and for language)",The Piano Teacher (La Pianiste),1-Sep-01
Drama,"R (for strong sexual content, some language and brief violence)",Before Night Falls,12-Jan-01
ComedyRomance,PG-13 (for sexual content),Tortilla Soup,24-Aug-01
Art House & InternationalComedyDramaRomance,PG-13 (for sexuality and thematic content),Me You Them,2-Mar-01
DramaMusical & Performing ArtsRomance,PG-13 (for sexual content and an intense scene of childbirth),Songcatcher,29-Jun-01
ComedyDramaMystery & Suspense,"R (for violence, drug content, strong language and some sexuality)",Buffalo Soldiers,1-Jan-01
DocumentarySpecial Interest,G,Spellbound,20-Jan-04
Action & AdventureDramaHorror,"R (for strong violence and gore, and sexuality/nudity)",Brotherhood of the Wolf,11-Oct-01
Art House & InternationalDramaMystery & Suspense,R (adult situations),Das Experiment (The Experiment),1-Jan-01
AnimationKids & FamilyScience Fiction & Fantasy,G,Jimmy Neutron - Boy Genius,21-Dec-01
Action & AdventureDramaMystery & Suspense,"R (for strong brutal violence, pervasive language, drug content and brief nudity)",Training Day,5-Oct-01
Action & AdventureMystery & Suspense,R (for violence/terror and language),Joy Ride,5-Oct-01
Action & AdventureComedyDramaMystery & Suspense,"R (for strong violence, language and nudity)",Snatch,19-Jan-01
ComedyDrama,"PG-13 (for sexuality, a scene of violence and brief nudity)",The Cat's Meow,3-Aug-01
Art House & InternationalDramaMystery & SuspenseRomance,"R (for strong violence, language, sexuality and drug content)",Our Lady of the Assassins,7-Sep-01
DramaScience Fiction & Fantasy,PG-13 (for some sexual content and violent images),A.I. Artificial Intelligence,29-Jun-01
Action & AdventureArt House & InternationalComedyDramaMystery & Suspense,"R (for strong sexuality, language and some violence)",The Tailor of Panama,30-Mar-01
Drama,R (for language and drug content),Tape,16-Nov-01
Drama,"PG-13 (for intense thematic material, sexual content and a scene of violence)",A Beautiful Mind,21-Dec-01
Action & AdventureDrama,"R (for intense, realistic, graphic war violence, and for language)",Black Hawk Down,28-Dec-01
ComedyDramaRomance,"PG (for thematic material, mild sensuality and language)",Jump Tomorrow,19-Jan-01
Art House & InternationalDramaMystery & Suspense,PG,Lumumba,27-Jun-01
ComedyDrama,"R (adult situations/language, nudity)",Diamond Men,28-Sep-01
Action & AdventureDrama,R (for language),The Score,13-Jul-01
Drama,"R (adult situations/language, nudity, sex, violence)",The Business of Strangers,7-Dec-01
Art House & InternationalDramaRomance,R (adult situations),Innocence,17-Aug-01
AnimationArt House & InternationalDramaSpecial Interest,R (for language and some violent images),Waking Life,19-Jan-01
Art House & InternationalComedyDramaMystery & SuspenseScience Fiction & Fantasy,NR,Little Otik,19-Dec-01
Art House & InternationalDramaRomance,NR,Ni na bian ji dian (What Time Is It Over There?),15-May-01
DramaMystery & Suspense,"R (for some violence and language, and for a strong sex scene)",The Deep End,15-Aug-01
ComedyDramaRomance,R (for a scene of violence),The Man Who Wasn't There,31-Oct-01
ComedyRomance,R (for language and some strong sexuality),Bridget Jones's Diary,13-Apr-01
DramaMystery & Suspense,"R (for violence, a strong sex scene, and some language)",The Pledge,19-Jan-01
Art House & InternationalComedyDrama,R (for language and brief drug use),Thirteen Conversations About One Thing,1-Sep-01
DramaRomance,R (for sexuality/nudity and some language),Iris,14-Dec-01
Art House & InternationalComedyDrama,R (for a scene of sexuality),The Closet (Le Placard),4-May-01
Action & AdventureKids & FamilyScience Fiction & Fantasy,PG (for some scary moments and mild language),Harry Potter and the Sorcerer's Stone,16-Nov-01
Action & AdventureComedyDrama,PG-13 (for some language and sexual content),Ocean's Eleven,7-Dec-01
DramaMusical & Performing ArtsRomance,PG-13 (for sexual content),Moulin Rouge!,16-May-01
Art House & InternationalDrama,"R (for sexual content, some nudity and language)",Faithless,26-Jan-01
Art House & InternationalDocumentaryDramaMusical & Performing Arts,G,Calle 54,13-Nov-01
Art House & InternationalComedyDramaRomance,PG-13 (for brief nudity),Va Savoir,29-Sep-01
Art House & InternationalDrama,NC17 (for some explicit sexual content),L.I.E.,7-Sep-01
Art House & InternationalComedyDrama,R,La Cienaga,3-Oct-01
DramaMystery & SuspenseSpecial Interest,"R (for violence, language and some strong sexuality)",Mulholland Drive,19-Oct-01
Art House & InternationalDrama,NR (adult situations),Roozi ke zan shodam (The Day I Became a Woman),16-Aug-05
DramaRomance,"R (adult situations/language, nudity)",Rain,1-Oct-01
Art House & InternationalDrama,NR,Comment j'ai tué mon père (My Father and I),8-Aug-01
Art House & InternationalComedyDrama,NR,101 Reykjavik,19-Jan-01
HorrorMystery & Suspense,R,Ginger Snaps,21-Apr-01
Art House & InternationalComedyDramaRomance,R (for language and some sexuality),Italian for Beginners,1-Sep-01
ComedyMystery & SuspenseScience Fiction & FantasyRomance,"R (for language, some drug use and violence)",Donnie Darko,19-Jan-01
DocumentarySpecial Interest,NR,Life And Debt,21-Sep-01
Art House & InternationalDrama,R (for some sexual content),Nowhere in Africa (Nirgendwo in Afrika),7-Mar-01
ComedyDramaMystery & Suspense,R (for some language and brief sexuality),Gosford Park,26-Dec-01
Art House & InternationalComedyDrama,PG-13 (for some violence and sexual content),Divided We Fall,8-Jun-01
HorrorMystery & Suspense,PG-13 (for thematic elements and frightening moments),The Others,10-Aug-01
Art House & InternationalDramaMystery & Suspense,NR,Eureka,4-May-01
Action & AdventureComedyDrama,"R (for language, some violence and sexuality)",Dinner Rush,28-Sep-01
Art House & InternationalDrama,PG,Kandahar: Le soleil derrière la lune,13-May-03
DocumentaryDrama,R (for language and some teen drug use),Our Song,23-May-01
Art House & InternationalComedyDrama,R (for nudity/sexuality and language),Together,24-Aug-01
AnimationDramaRomance,"PG (for thematic elements, violence and brief mild language)",Millennium Actress (Sennen joyû),1-Jan-01
Art House & InternationalDocumentaryDramaSpecial Interest,NR,The Gleaners and I,23-Jul-02
DocumentarySpecial InterestFaith & Spirituality,NR,Trembling Before G-d,21-Oct-03
Art House & InternationalDramaRomance,PG (for thematic elements and brief language),In the Mood for Love,2-Feb-01
Art House & InternationalComedyDrama,PG (for thematic material and mild language),Mostly Martha (Bella Martha),16-Aug-01
Art House & InternationalDrama,R,The Circle (Dayereh),18-May-01
